iter	Passed	Remaining
434	1891	282
435	1893	277
436	1897	273
437	1901	269
438	1904	264
439	1907	260
440	1909	255
441	1913	251
442	1916	246
443	1919	242
444	1922	237
445	1924	233
446	1929	228
447	1932	224
448	1934	219
449	1937	215
450	1939	210
451	1942	206
452	1942	201
453	1946	197
454	1956	193
455	1966	189
456	1969	185
457	1971	180
458	1973	176
459	1976	171
460	1978	167
461	1984	163
462	1986	158
463	1989	154
464	1992	149
465	1995	145
466	2000	141
467	2003	136
468	2005	132
469	2010	128
470	2015	124
471	2018	119
472	2020	115
473	2022	110
474	2024	106
475	2029	102
476	2032	97
477	2035	93
478	2038	89
479	2041	85
480	2044	80
481	2053	76
482	2055	72
483	2058	68
484	2060	63
485	2063	59
486	2066	55
487	2069	50
488	2072	46
489	2074	42
490	2077	38
491	2080	33
492	2082	29
493	2085	25
494	2087	21
495	2089	16
496	2092	12
497	2095	8
498	2097	4
499	2100	0
94	3363	33
495	3367	27
496	3370	20
497	3374	13
498	3378	6
499	3382	0
487	0
08	7
499	3511	0
	3505	0
