iter	RMSE
289	0.1287981438
290	0.1286240679
291	0.1285014787
292	0.1284012411
293	0.1281416647
294	0.1281167732
295	0.1279480759
296	0.1278708898
297	0.1278576528
298	0.1276936496
299	0.127586519
300	0.127433077
301	0.1273665637
302	0.1272663363
303	0.1270814132
304	0.1268649515
305	0.1265985401
306	0.1264904177
307	0.1264819783
308	0.1261938434
309	0.1260519935
310	0.1259345103
311	0.1259228101
312	0.1259102864
313	0.1257887724
314	0.1257817852
315	0.1257158879
316	0.1256659639
317	0.1256490122
318	0.1256101569
319	0.1256093921
320	0.1254333769
321	0.1253930378
322	0.1251514652
323	0.1250675124
324	0.124828393
325	0.1246961092
326	0.1245948746
327	0.1244771159
328	0.1244706289
329	0.1243356491
330	0.1243273872
331	0.1240750229
332	0.1240130192
333	0.1238955284
334	0.1237921579
335	0.1237353347
336	0.1237138947
337	0.1235602574
338	0.1233460553
339	0.1232803552
340	0.1230757325
341	0.1230443371
342	0.1228456614
343	0.1227229319
344	0.1226626005
345	0.1225611988
346	0.1224774527
347	0.1224138077
348	0.1223077749
349	0.122148824
350	0.1221051382
351	0.1220987697
352	0.1219291535
353	0.1217777425
354	0.121633976
355	0.1215482589
356	0.1214155862
357	0.1213491051
358	0.1212136171
359	0.1210710079
360	0.1210088729
361	0.1209785579
362	0.120931369
363	0.120876155
364	0.1207479744
365	0.1206744234
366	0.1205455824
367	0.120524549
368	0.1204666915
369	0.1204502926
370	0.1203668941
371	0.120339345
372	0.1202963388
373	0.1201789735
374	0.1201298461
375	0.1200328202
376	0.1199139245
377	0.1197197498
378	0.1195680707
379	0.1194486607
380	0.119330954
381	0.1192295106
382	0.1191419316
383	0.1190706946
384	0.119046677
385	0.1187827745
386	0.1187251469
387	0.1186842837
388	0.1186725712
389	0.1185071674
390	0.118398837
391	0.1182235508
392	0.1180720541
393	0.1178818214
394	0.1178766661
395	0.1177649489
396	0.1176531934
397	0.1176433686
398	0.1175726293
399	0.1174977406
400	0.1173669453
401	0.1172953422
402	0.1172914468
403	0.1171188353
404	0.1171143695
405	0.1169920609
406	0.1168934303
407	0.1167776364
408	0.1166501771
409	0.1165095399
410	0.116353179
411	0.1162375634
412	0.1160994448
413	0.1160325871
414	0.1160177528
415	0.1158492511
416	0.1158135659
417	0.1157444086
418	0.1157130759
419	0.1155874887
420	0.1154980336
421	0.1154778111
422	0.1154117008
423	0.1153142235
424	0.1151690358
425	0.1151186188
426	0.1150550403
427	0.1148789108
428	0.1147381686
429	0.114699926
430	0.1145039066
431	0.1145035579
432	0.1144627023
433	0.1144344941
434	0.1143052667
435	0.1142488177
436	0.1140955557
437	0.1140142178
438	0.1139401288
439	0.1138229941
440	0.11378151
441	0.1137232734
442	0.1137120843
443	0.1135689046
444	0.1134916956
445	0.1133428457
446	0.1132873697
447	0.1132715371
448	0.1131744047
449	0.1131206971
450	0.1131022094
451	0.11303488
452	0.1130342244
453	0.1129731705
454	0.1128964603
455	0.1128093636
456	0.1126930891
457	0.112642587
458	0.1124922234
459	0.1124888426
460	0.1124708733
461	0.1123816783
462	0.1121661506
463	0.1121459365
464	0.1120806863
465	0.112036406
466	0.1119888831
467	0.1118658971
468	0.1117705441
469	0.1116202376
470	0.1115311884
471	0.1114428147
472	0.111431219
473	0.111377012
474	0.111340872
475	0.1111941947
476	0.1110902403
477	0.1110693283
478	0.1110020157
479	0.1109774044
480	0.1109738435
481	0.1107897222
482	0.1107432739
483	0.110663139
484	0.1106593633
485	0.1106284775
486	0.1105237982
487	0.1105209835
488	0.1105176272
489	0.1103676051
490	0.1102616398
491	0.1101001865
492	0.110094487
493	0.1099984401
494	0.1098972322
495	0.1098564716
496	0.1098323181
497	0.1097736125
498	0.109603752
499	0.1096022836
09774041398
499	0.09768168549
