iter	RMSE
0	0.5201447788
1	0.4882103102
2	0.4592338905
3	0.433256805
4	0.4109399918
5	0.3917025404
6	0.372063736
7	0.3576867857
8	0.3424885951
9	0.3285441554
10	0.3162973448
11	0.3038030642
12	0.2938532392
13	0.2847524172
14	0.2762553999
15	0.2688347918
16	0.2623813002
17	0.2568575466
18	0.250871842
19	0.2459799912
20	0.2413881298
21	0.2370075967
22	0.2333786925
23	0.2298641919
24	0.226787783
25	0.2238541677
26	0.2209841142
27	0.2187604597
28	0.2166187481
29	0.2151247526
30	0.2140247578
31	0.2123067156
32	0.2101676228
33	0.2086080264
34	0.2072668954
35	0.2059632185
36	0.2043785962
37	0.2036227711
38	0.2022957103
39	0.2013914988
40	0.2006407366
41	0.1996817697
42	0.1991183737
43	0.1975798019
44	0.1967721919
45	0.1961391681
46	0.1954794754
47	0.1943492052
48	0.1935992892
49	0.1925639474
50	0.1917081471
51	0.1909410679
52	0.1904825339
53	0.1901336549
54	0.1897717122
55	0.1892750531
56	0.1887904939
57	0.188201268
58	0.1877035106
59	0.1871425292
60	0.1863675012
61	0.1854144646
62	0.1845555417
63	0.1834850558
64	0.1826296792
65	0.1818856629
66	0.1811344139
67	0.1802096858
68	0.1795852146
69	0.1787208642
70	0.1783896206
71	0.1777300133
72	0.1772847646
73	0.1763040669
74	0.1756785693
75	0.1753944777
76	0.1748026705
77	0.1739373004
78	0.1737898093
79	0.1734007822
80	0.1726933067
81	0.1722871356
82	0.1716468457
83	0.171628083
84	0.1711528811
85	0.170928731
86	0.170277744
87	0.1700614543
88	0.1698047523
89	0.1694990899
90	0.1691605935
91	0.1686822723
92	0.1684038415
93	0.1681800179
94	0.1679588216
95	0.1677451356
96	0.1675784935
97	0.1672514086
98	0.1669833625
99	0.1662597931
100	0.1662104197
101	0.1659579734
102	0.1657538108
103	0.1657131131
104	0.1651267445
105	0.1648042769
106	0.1646825196
107	0.1640447293
108	0.1636688915
109	0.1635052452
110	0.1633986942
111	0.1633544071
112	0.1630531063
113	0.1624665767
114	0.1623513318
115	0.1621933156
116	0.1620919758
117	0.1620532537
118	0.1619691277
119	0.1611799356
120	0.1610490216
121	0.1608933915
122	0.1607886653
123	0.1603160036
124	0.160256419
125	0.1601218654
126	0.1599437299
127	0.1595522705
128	0.1588666262
129	0.1588059819
130	0.1586912121
131	0.1586206567
132	0.1581637069
133	0.1580569346
134	0.1575529556
135	0.1569795699
136	0.1568090229
137	0.1566269183
138	0.1563191483
139	0.1560357038
140	0.1559959307
141	0.155678535
142	0.1552853562
143	0.1552180722
144	0.1551410457
145	0.1547011291
146	0.154167795
147	0.1537471762
148	0.1535312839
149	0.1534211167
150	0.1532371791
151	0.1532095312
152	0.1531885003
153	0.1528265209
154	0.1523138451
155	0.1518184706
156	0.1516033341
157	0.1513692421
158	0.1512538142
159	0.1511672474
160	0.1508091729
161	0.150492082
162	0.1504609627
163	0.1503978476
164	0.150038396
165	0.15000862
166	0.1498321396
167	0.1496481979
168	0.149344691
169	0.1493160938
170	0.1489622017
171	0.1487264547
172	0.14864033
173	0.1485885923
174	0.1485593049
175	0.1483395496
176	0.1480961345
177	0.1479134859
178	0.1476184006
179	0.1476032762
180	0.1472179457
181	0.1469097736
182	0.1467711938
183	0.1465275862
184	0.146231096
185	0.1459772665
186	0.1459054919
187	0.1458292781
188	0.1456256731
189	0.1455332177
190	0.1455258852
191	0.1454908494
192	0.1454124317
193	0.1453994931
194	0.1450978521
195	0.1450886137
196	0.1450494126
197	0.145009501
198	0.144652057
199	0.1441973969
200	0.1441686152
201	0.1439973846
202	0.1436102717
203	0.1432432204
204	0.1431291235
205	0.143102806
206	0.1430914452
207	0.1428164488
208	0.1426016594
209	0.1423090993
210	0.1421237782
211	0.1421152446
212	0.1420250238
213	0.1416486895
214	0.1413743099
215	0.141097923
216	0.1409691025
217	0.1406788414
218	0.1403608747
219	0.1400234146
220	0.139880714
221	0.1396662369
222	0.1394994859
223	0.1393135264
224	0.1391895538
225	0.1390321705
226	0.1388890697
227	0.1388761159
228	0.1385799365
229	0.1384196607
230	0.138160958
231	0.1381453213
232	0.1377387431
233	0.1373459186
234	0.1369980398
235	0.1367575928
236	0.1366169649
237	0.1364091818
238	0.1363781103
239	0.1362059289
240	0.1359369787
241	0.135781909
242	0.1356259697
243	0.1354649702
244	0.1353572469
245	0.1352242186
246	0.1350848565
247	0.1348954159
248	0.1347285822
249	0.1345382104
250	0.1345339809
251	0.1345206311
252	0.1342978185
253	0.1339690942
254	0.1337323584
255	0.1336508203
256	0.1334886865
257	0.1333381382
258	0.1332449235
259	0.133123165
260	0.1329790592
261	0.1328211416
262	0.1327074272
263	0.1326964267
264	0.1325629585
265	0.1324225886
266	0.1322353164
267	0.1321408678
268	0.1319385174
269	0.1317003179
270	0.1316852267
271	0.1315520596
272	0.1313862614
273	0.1311798677
274	0.1309887046
275	0.1309415061
276	0.1307394322
277	0.130526684
278	0.1304080346
279	0.1302283142
280	0.129985132
281	0.1297644824
282	0.1297600495
283	0.1295417936
284	0.1294399495
285	0.1292539027
286	0.1291177197
287	0.1289623003
288	0.1289528771
